2025-12-15T09:41:53.222387,R_100,SELL,1765791713,1.0,1003.0922326040771
2025-12-15T09:41:56.099937,R_100,SELL,1765791716,1.0,1003.1779566343895
2025-12-15T09:42:57.377357,R_100,BUY,1765791777,1.0,1006.8774194400197
2025-12-15T09:43:00.254054,R_100,BUY,1765791780,1.0,1006.8683080813463
2025-12-15T09:43:09.296686,R_100,BUY,1765791789,1.0,1006.5278224009772
2025-12-15T09:43:58.743265,R_100,BUY,1765791838,1.0,1004.1988581736462
2025-12-15T09:44:01.779273,R_100,BUY,1765791841,1.0,1004.0593968858097
2025-12-15T09:44:06.683865,R_100,BUY,1765791846,1.0,1004.1002935620985
2025-12-15T09:44:33.706565,R_100,SELL,1765791873,1.0,1004.939367790476
2025-12-15T09:44:36.683720,R_100,SELL,1765791876,1.0,1005.4638294690151
2025-12-15T09:47:08.686958,R_100,BUY,1765792028,1.0,1006.7746875218286
2025-12-15T09:47:11.670883,R_100,BUY,1765792031,1.0,1006.5154013260362
2025-12-15T09:47:14.604312,R_100,BUY,1765792034,1.0,1006.5761965439503
2025-12-15T09:47:17.533838,R_100,BUY,1765792037,1.0,1006.1977501870807
2025-12-15T09:47:20.384092,R_100,BUY,1765792040,1.0,1005.7573712634988
2025-12-15T09:47:45.430621,R_100,SELL,1765792065,1.0,1005.9487309225361
2025-12-15T09:47:48.362770,R_100,SELL,1765792068,1.0,1005.8480875316312
2025-12-15T09:47:51.345815,R_100,SELL,1765792071,1.0,1006.0236759550266
2025-12-15T09:47:54.204074,R_100,SELL,1765792074,1.0,1006.1135268983027
2025-12-15T09:47:57.085859,R_100,SELL,1765792077,1.0,1006.3104765358256
2025-12-15T09:47:59.992833,R_100,SELL,1765792079,1.0,1006.6125079913486
2025-12-15T09:48:02.991676,R_100,SELL,1765792082,1.0,1006.1983081487258
2025-12-15T09:48:07.966902,R_100,SELL,1765792087,1.0,1005.8734337391504
2025-12-15T09:48:35.002910,R_100,SELL,1765792115,1.0,1007.6781077402486
2025-12-15T09:48:44.036897,R_100,SELL,1765792124,1.0,1007.0741920685747
2025-12-15T09:48:55.182002,R_100,SELL,1765792135,1.0,1007.4388204643843
2025-12-15T09:48:58.097365,R_100,SELL,1765792138,1.0,1007.6604616063315
2025-12-15T09:49:01.092760,R_100,SELL,1765792141,1.0,1007.6071195022865
2025-12-15T09:49:04.143071,R_100,SELL,1765792144,1.0,1008.037310314011
2025-12-15T09:49:07.074129,R_100,SELL,1765792147,1.0,1007.9245616394242
2025-12-15T09:49:10.004461,R_100,SELL,1765792150,1.0,1008.1246171718836
2025-12-15T09:49:12.976495,R_100,SELL,1765792152,1.0,1008.1184897264664
2025-12-15T09:49:15.935310,R_100,SELL,1765792155,1.0,1008.0042959066211
2025-12-15T09:49:18.810381,R_100,SELL,1765792158,1.0,1008.138868726804
2025-12-15T09:49:21.708874,R_100,SELL,1765792161,1.0,1007.9043155246351
2025-12-15T09:49:24.606252,R_100,SELL,1765792164,1.0,1007.7492450589929
2025-12-15T09:49:27.552119,R_100,SELL,1765792167,1.0,1007.6838658406899
2025-12-15T09:49:30.424134,R_100,SELL,1765792170,1.0,1007.551578876175
2025-12-15T09:49:33.330396,R_100,SELL,1765792173,1.0,1008.0573728164812
2025-12-15T09:49:36.150790,R_100,SELL,1765792176,1.0,1008.0643334074783
2025-12-15T09:49:39.036205,R_100,SELL,1765792179,1.0,1007.6305762022498
2025-12-15T09:49:41.944273,R_100,SELL,1765792181,1.0,1007.8074710435371
2025-12-15T09:50:05.014555,R_100,BUY,1765792205,1.0,1006.7184151785806
2025-12-15T09:50:07.942953,R_100,BUY,1765792207,1.0,1006.7252585382803
2025-12-15T09:50:12.971414,R_100,BUY,1765792212,1.0,1007.7460824131122
2025-12-15T09:50:15.949083,R_100,BUY,1765792215,1.0,1007.9931990202326
2025-12-15T09:50:18.924142,R_100,BUY,1765792218,1.0,1008.2355948329962
2025-12-15T09:50:21.949884,R_100,BUY,1765792221,1.0,1008.1054984195466
2025-12-15T09:50:24.980374,R_100,BUY,1765792224,1.0,1008.0907806723629
2025-12-15T09:50:27.766347,R_100,BUY,1765792227,1.0,1007.9921480734237
2025-12-15T09:50:34.815603,R_100,BUY,1765792234,1.0,1008.7597672059155
2025-12-15T09:50:39.890646,R_100,BUY,1765792239,1.0,1009.0569697875344
2025-12-15T09:51:39.326195,R_100,SELL,1765792299,1.0,1008.2181826070663
2025-12-15T09:52:08.234188,R_100,BUY,1765792328,1.0,1010.7852994358487
2025-12-15T09:52:10.997825,R_100,BUY,1765792330,1.0,1010.3814637527262
2025-12-15T09:52:13.807828,R_100,BUY,1765792333,1.0,1010.2537421679042
2025-12-15T09:52:16.575389,R_100,BUY,1765792336,1.0,1010.4113029790867
2025-12-15T09:53:03.961321,R_100,SELL,1765792383,1.0,1010.4627876184
2025-12-15T09:53:06.897260,R_100,SELL,1765792386,1.0,1009.9607626824728
2025-12-15T09:53:09.826087,R_100,SELL,1765792389,1.0,1009.9587075334331
2025-12-15T09:53:12.720001,R_100,SELL,1765792392,1.0,1009.731954600717
2025-12-15T09:53:15.597673,R_100,SELL,1765792395,1.0,1010.0313582593587
