datetime,open,high,low,close
2025-08-16 01:30:00,1139.48,1139.48,1135.08,1135.47
2025-08-16 01:35:00,1135.3,1143.94,1134.99,1143.25
2025-08-16 01:40:00,1143.04,1144.38,1141.82,1142.02
2025-08-16 01:45:00,1142.06,1143.27,1138.83,1140.45
2025-08-16 01:50:00,1140.3,1145.19,1137.96,1144.65
2025-08-16 01:55:00,1143.83,1145.29,1139.48,1139.48
2025-08-16 02:00:00,1139.31,1145.49,1139.0,1145.33
2025-08-16 02:05:00,1145.09,1145.45,1137.26,1137.64
2025-08-16 02:10:00,1137.72,1139.14,1133.46,1139.08
2025-08-16 02:15:00,1139.14,1143.67,1137.94,1143.52
2025-08-16 02:20:00,1143.63,1148.05,1143.24,1146.75
2025-08-16 02:25:00,1146.66,1147.29,1143.22,1146.01
2025-08-16 02:30:00,1146.01,1146.89,1140.25,1142.35
2025-08-16 02:35:00,1142.41,1150.51,1141.62,1150.51
2025-08-16 02:40:00,1151.22,1153.79,1149.81,1153.35
2025-08-16 02:45:00,1152.9,1155.05,1151.84,1154.02
2025-08-16 02:50:00,1154.21,1155.76,1151.77,1153.47
2025-08-16 02:55:00,1153.33,1154.74,1145.05,1145.81
2025-08-16 03:00:00,1145.89,1150.24,1144.75,1150.24
2025-08-16 03:05:00,1150.5,1160.04,1150.35,1158.54
2025-08-16 03:10:00,1158.55,1160.45,1157.83,1159.7
2025-08-16 03:15:00,1160.19,1163.89,1159.7,1161.11
2025-08-16 03:20:00,1161.12,1164.1,1158.82,1159.88
2025-08-16 03:25:00,1159.45,1159.68,1154.24,1159.01
2025-08-16 03:30:00,1158.77,1165.01,1158.32,1165.01
2025-08-16 03:35:00,1165.7,1167.38,1164.03,1166.37
2025-08-16 03:40:00,1166.84,1167.96,1163.96,1165.19
2025-08-16 03:45:00,1165.2,1165.79,1162.92,1164.02
2025-08-16 03:50:00,1163.81,1165.59,1161.95,1162.68
2025-08-16 03:55:00,1163.09,1164.73,1161.42,1164.69
2025-08-16 04:00:00,1164.78,1165.53,1161.16,1164.22
2025-08-16 04:05:00,1163.76,1164.41,1158.92,1159.26
2025-08-16 04:10:00,1159.14,1161.78,1157.61,1159.06
2025-08-16 04:15:00,1159.28,1163.9,1158.69,1163.17
2025-08-16 04:20:00,1163.09,1169.7,1163.09,1168.55
2025-08-16 04:25:00,1168.12,1168.57,1162.73,1163.53
2025-08-16 04:30:00,1163.68,1170.85,1163.0,1169.79
2025-08-16 04:35:00,1170.02,1170.98,1167.13,1170.51
2025-08-16 04:40:00,1170.6,1171.24,1168.86,1169.67
2025-08-16 04:45:00,1169.62,1170.17,1163.33,1166.35
2025-08-16 04:50:00,1166.01,1172.38,1165.15,1171.8
2025-08-16 04:55:00,1171.3,1172.27,1165.56,1165.56
2025-08-16 05:00:00,1165.78,1167.92,1161.33,1161.33
2025-08-16 05:05:00,1161.5,1162.17,1159.13,1160.64
2025-08-16 05:10:00,1160.26,1162.53,1158.28,1159.23
2025-08-16 05:15:00,1159.39,1165.62,1159.26,1164.63
2025-08-16 05:20:00,1164.46,1171.07,1164.3,1166.52
2025-08-16 05:25:00,1166.58,1170.59,1166.57,1169.77
2025-08-16 05:30:00,1170.47,1171.93,1166.79,1171.93
2025-08-16 05:35:00,1172.14,1173.2,1167.94,1171.24
2025-08-16 05:40:00,1170.87,1170.93,1166.47,1167.87
2025-08-16 05:45:00,1168.17,1173.61,1168.13,1173.61
2025-08-16 05:50:00,1173.47,1178.42,1173.34,1178.42
2025-08-16 05:55:00,1178.49,1184.9,1177.95,1182.02
